series,date,hour,bucket,price,model_p,edge,won,determined,source
KXHIGHNY,2026-05-31,13,74-75,0.545,0.3617603960396039,-0.18323960396039612,True,False,hourly_snapshot
KXHIGHNY,2026-05-31,14,76-77,0.10500000000000001,0.02100000000000002,-0.08399999999999999,False,False,metar_6h_group
KXHIGHNY,2026-05-31,14,74-75,0.695,0.21520000000000006,-0.4797999999999999,True,False,metar_6h_group
KXHIGHNY,2026-05-31,14,72-73,0.15,0.7533,0.6033,False,False,metar_6h_group
KXHIGHNY,2026-05-31,15,74-75,0.45999999999999996,0.10760000000000003,-0.35239999999999994,True,False,metar_6h_group
KXHIGHNY,2026-05-31,15,72-73,0.545,0.8845,0.3394999999999999,False,False,metar_6h_group
KXHIGHNY,2026-05-31,16,76-77,0.11,0.23851881188118873,0.12851881188118874,False,False,hourly_snapshot
KXHIGHNY,2026-05-31,16,74-75,0.86,0.7264158415841576,-0.13358415841584237,True,False,hourly_snapshot
KXHIGHNY,2026-05-31,17,76-77,0.08499999999999999,0.22316237623762356,0.13816237623762356,False,False,hourly_snapshot
KXHIGHNY,2026-05-31,17,74-75,0.925,0.7459445544554459,-0.1790554455445541,True,False,hourly_snapshot
KXHIGHNY,2026-05-31,18,76-77,0.11,0.21970099009900942,0.10970099009900942,False,False,hourly_snapshot
KXHIGHNY,2026-05-31,18,74-75,0.89,0.7499524752475254,-0.14004752475247462,True,False,hourly_snapshot
KXHIGHNY,2026-06-01,13,72-73,0.08499999999999999,0.2100920792079213,0.12509207920792131,False,False,hourly_snapshot
KXHIGHNY,2026-06-01,13,70-71,0.685,0.5341782178217822,-0.15082178217821784,True,False,hourly_snapshot
KXHIGHNY,2026-06-01,14,72-73,0.235,0.21520000000000006,-0.01979999999999993,False,False,metar_6h_group
KXHIGHNY,2026-06-01,14,70-71,0.785,0.7533,-0.03170000000000006,True,False,metar_6h_group
KXHIGHNY,2026-06-01,15,72-73,0.095,0.10760000000000003,0.012600000000000028,False,False,metar_6h_group
